Track_ID,Start_Junction,End_Junction,Track_Length,Max_Capacity,Signal_Positions,Halt_Positions,Track_Type,Electrified,Max_Speed_Limit
TK0013,JN0146,JN0233,101.66,3,"[61.85, 4.09, 77.45, 10.12, 40.33]","[10.53, 85.09]",Loop,Yes,80
TK0014,JN0135,JN0083,55.89,1,"[1.73, 11.26]",[14.95],Single Line,Yes,120
TK0015,JN0192,JN0580,278.83,2,"[111.21, 209.23, 20.4, 24.95, 181.79, 135.77, 220.39, 255.48, 108.29, 166.29, 139.61, 273.7, 231.73]","[254.22, 70.92, 215.4, 74.02, 58.2]",Yard Track,No,100
TK0016,JN0798,JN0162,92.5,4,"[20.05, 54.16, 32.2, 60.81]",[1.45],Yard Track,Yes,80
TK0017,JN0746,JN0899,408.32,3,"[77.9, 131.06, 171.23, 242.52, 352.52, 64.99, 6.16, 183.43, 176.44, 225.35, 340.22, 327.62, 40.85, 381.37, 45.08, 259.11, 274.56, 277.61, 108.35, 134.89]","[224.04, 81.5, 8.29, 229.54, 189.98, 268.16, 59.9, 343.37]",Yard Track,Yes,140
TK0018,JN0637,JN0467,277.15,2,"[243.98, 267.22, 89.95, 221.36, 58.38, 151.21, 49.85, 96.28, 258.13, 40.49, 175.27, 164.34, 33.46]","[90.35, 156.03, 51.88, 221.9, 269.44]",Junction Track,Yes,100
TK0019,JN0684,JN0742,289.64,2,"[5.76, 156.76, 277.07, 113.33, 121.69, 280.63, 201.18, 208.3, 162.98, 282.28, 199.52, 259.24, 202.57, 212.92]","[84.11, 87.9, 226.78, 85.94, 163.0]",Yard Track,Yes,120
TK0020,JN0659,JN0270,415.58,5,"[175.38, 44.06, 389.91, 18.41, 311.58, 29.68, 194.2, 72.9, 58.64, 52.32, 188.17, 214.22, 55.43, 407.01, 107.12, 190.68, 89.88, 205.26, 314.18, 216.56]","[118.71, 103.23, 315.39, 49.14, 153.75, 62.95, 107.21, 63.45]",Yard Track,No,140
TK0021,JN0978,JN0390,116.09,4,"[59.36, 73.87, 76.62, 33.55, 16.34]","[18.18, 74.23]",Double Line,No,100
TK0022,JN0073,JN0215,163.46,2,"[143.94, 99.19, 140.7, 2.52, 17.53, 15.13, 116.48, 11.37]","[81.14, 77.27, 50.79]",Junction Track,No,160
TK0023,JN0056,JN0631,20.06,4,[15.6],[],Junction Track,No,100
TK0024,JN0527,JN0656,262.75,2,"[20.31, 67.75, 24.76, 82.81, 229.95, 91.22, 147.64, 113.87, 120.58, 254.75, 77.81, 164.83, 110.37]","[16.07, 128.57, 213.7, 25.95, 18.29]",Yard Track,Yes,80
TK0025,JN0750,JN0173,114.99,4,"[102.15, 88.16, 93.37, 93.52, 73.91]","[52.67, 99.43]",Yard Track,No,80
TK0026,JN0823,JN0850,27.91,2,[24.37],[],Loop,Yes,120
TK0027,JN0358,JN0238,82.47,2,"[70.74, 45.43, 33.87, 69.14]",[80.9],Loop,Yes,80
TK0028,JN0083,JN0707,9.34,4,[6.59],[],Double Line,Yes,160
TK0029,JN0937,JN0287,160.96,3,"[149.47, 157.08, 151.15, 43.76, 82.05, 28.24, 129.77, 143.0]","[137.02, 69.75, 122.12]",Loop,Yes,100
TK0030,JN0589,JN0531,497.8,5,"[443.31, 213.84, 265.71, 475.54, 149.19, 143.86, 398.04, 138.16, 414.1, 47.56, 55.39, 448.68, 269.21, 357.82, 112.15, 82.77, 415.64, 178.52, 226.51, 13.92, 192.09, 383.52, 408.83, 347.84]","[344.56, 252.0, 267.98, 369.68, 123.11, 115.25, 472.87, 13.78, 69.43]",Double Line,Yes,100
TK0031,JN0600,JN0763,489.1,1,"[119.94, 375.64, 6.18, 106.25, 31.86, 381.61, 369.7, 397.95, 2.19, 245.15, 344.73, 76.01, 317.81, 41.14, 88.69, 232.71, 319.66, 71.34, 90.59, 99.99, 116.75, 110.81, 193.27, 319.77]","[214.24, 379.53, 351.79, 61.88, 23.89, 429.4, 39.05, 72.55, 10.83]",Single Line,Yes,140
TK0032,JN0583,JN0222,208.37,2,"[67.56, 123.61, 112.3, 138.16, 154.29, 91.87, 185.09, 168.67, 163.66, 95.48]","[7.83, 102.57, 187.21, 39.68]",Single Line,No,120
TK0033,JN0467,JN0952,340.19,2,"[51.15, 144.08, 63.39, 123.79, 43.92, 155.3, 92.43, 119.72, 32.08, 145.65, 334.5, 111.87, 298.16, 286.85, 323.88, 268.79, 224.39]","[291.41, 25.73, 157.45, 336.54, 261.81, 327.29]",Single Line,No,160
TK0034,JN0096,JN0107,263.97,3,"[88.49, 25.2, 207.22, 120.0, 129.98, 49.2, 174.46, 145.51, 54.56, 89.84, 157.56, 244.14, 242.95]","[76.0, 194.18, 204.72, 213.51, 150.67]",Yard Track,Yes,140
TK0035,JN0601,JN0109,62.85,5,"[1.99, 48.61, 3.27]",[2.4],Loop,Yes,80
TK0036,JN0258,JN0646,267.13,2,"[115.53, 32.6, 21.03, 181.67, 108.77, 194.0, 29.4, 162.92, 118.42, 15.49, 145.53, 22.12, 221.11]","[168.82, 148.78, 35.65, 76.79, 131.66]",Junction Track,Yes,160
TK0037,JN0876,JN0732,24.87,5,[4.59],[],Yard Track,Yes,100
TK0038,JN0694,JN0423,176.99,3,"[162.73, 62.58, 127.35, 78.25, 115.97, 60.23, 57.09, 75.12]","[25.76, 147.1, 61.72]",Junction Track,Yes,100
TK0039,JN0232,JN0696,478.47,5,"[240.85, 305.57, 81.85, 411.69, 254.55, 196.62, 288.06, 303.8, 20.47, 478.42, 174.12, 29.45, 407.81, 475.13, 390.6, 407.6, 299.49, 441.3, 17.1, 366.85, 320.91, 23.72, 260.27]","[246.44, 330.88, 37.1, 385.3, 66.7, 200.32, 421.67, 268.2, 181.62]",Loop,Yes,120
TK0040,JN0037,JN0107,24.77,1,[2.61],[],Single Line,Yes,160
TK0041,JN0814,JN0188,40.59,4,"[12.94, 27.49]",[],Double Line,No,140
TK0042,JN0304,JN0624,451.6,4,"[236.69, 14.83, 211.53, 399.79, 163.29, 421.09, 284.78, 421.86, 341.94, 46.71, 104.39, 178.01, 76.82, 223.5, 212.87, 431.85, 195.87, 354.79, 425.37, 396.05, 94.23, 224.01]","[157.04, 180.58, 162.94, 373.18, 204.19, 236.5, 443.67, 27.09, 220.36]",Double Line,No,160
TK0043,JN0449,JN0418,123.54,1,"[41.37, 113.6, 80.76, 34.36, 58.42, 104.58]","[41.44, 64.91]",Single Line,Yes,120
TK0044,JN0582,JN0648,157.34,2,"[152.36, 103.24, 154.77, 89.8, 69.64, 86.78, 18.21]","[63.2, 72.12, 133.52]",Loop,No,100
TK0045,JN0361,JN0320,177.14,6,"[157.53, 136.63, 72.9, 32.57, 166.77, 94.3, 150.99, 60.6]","[59.39, 174.58, 92.44]",Double Line,Yes,100
TK0046,JN0274,JN0845,321.93,2,"[250.89, 114.27, 316.31, 58.2, 190.26, 28.88, 236.25, 320.24, 263.7, 178.9, 156.05, 268.82, 301.32, 318.45, 127.66, 319.01]","[50.2, 81.63, 28.66, 87.48, 247.22, 274.58]",Loop,No,100
TK0047,JN0971,JN0098,350.41,5,"[123.07, 7.21, 342.33, 23.36, 314.75, 109.68, 205.89, 238.04, 49.35, 155.5, 114.05, 19.83, 291.96, 15.83, 228.91, 110.06, 67.32]","[233.76, 201.33, 110.47, 179.75, 86.28, 302.65, 109.97]",Junction Track,Yes,80
TK0048,JN0792,JN0245,137.67,6,"[85.06, 108.34, 46.02, 121.32, 84.65, 113.21]","[75.2, 30.07]",Double Line,Yes,140
TK0049,JN0808,JN0293,343.85,5,"[166.51, 152.32, 103.96, 339.26, 93.52, 168.5, 139.22, 58.54, 69.67, 315.76, 295.12, 68.44, 301.1, 71.93, 215.44, 27.95, 302.71]","[17.71, 190.82, 268.1, 40.17, 139.08, 14.42]",Loop,Yes,120
TK0050,JN0344,JN0714,29.07,5,[27.74],[],Loop,Yes,120
TK0051,JN0878,JN0787,330.46,4,"[206.47, 89.02, 93.86, 40.98, 304.64, 57.15, 189.32, 193.1, 122.14, 116.49, 220.94, 128.32, 84.31, 131.9, 266.9, 319.38]","[210.16, 258.45, 176.08, 206.48, 326.52, 144.88]",Junction Track,Yes,120
TK0052,JN0098,JN0984,308.68,5,"[106.66, 114.87, 188.21, 84.69, 215.63, 47.18, 33.35, 165.11, 171.47, 32.92, 297.62, 176.96, 46.62, 96.14, 247.02]","[161.51, 58.08, 31.75, 132.97, 104.15, 202.47]",Yard Track,No,140
TK0053,JN0044,JN0123,451.49,4,"[47.67, 447.61, 110.23, 89.64, 237.85, 242.54, 198.58, 348.5, 233.26, 275.27, 326.77, 11.3, 257.64, 399.21, 7.85, 182.94, 418.18, 159.45, 207.11, 443.16, 89.99, 29.46]","[388.02, 392.1, 213.14, 232.16, 377.36, 333.45, 119.71, 7.63, 216.58]",Yard Track,No,100
TK0054,JN0899,JN0371,440.38,5,"[58.64, 169.79, 415.26, 391.85, 230.61, 236.49, 136.04, 200.16, 314.63, 177.22, 82.79, 238.19, 99.23, 429.06, 171.9, 400.6, 99.33, 83.32, 271.67, 343.23, 249.59, 101.2]","[16.69, 272.28, 57.71, 151.13, 297.6, 43.17, 56.04, 27.16]",Yard Track,No,160
TK0055,JN0167,JN0300,150.32,3,"[2.54, 78.48, 50.4, 0.2, 46.29, 41.88, 59.15]","[19.82, 76.32, 104.09]",Junction Track,Yes,160
TK0056,JN0977,JN0177,261.95,7,"[183.78, 113.84, 109.43, 199.14, 45.8, 88.69, 58.72, 94.07, 60.35, 151.78, 209.08, 206.05, 95.48]","[259.01, 155.56, 104.62, 218.87, 191.19]",Double Line,No,80
TK0057,JN0456,JN0534,431.6,2,"[90.46, 180.13, 372.22, 91.91, 168.57, 137.28, 65.22, 125.04, 100.47, 398.63, 319.85, 136.43, 329.46, 9.56, 227.25, 108.05, 49.34, 381.43, 86.04, 354.95, 178.35]","[6.17, 316.16, 257.39, 148.55, 121.52, 31.81, 406.32, 213.21]",Loop,Yes,140
TK0058,JN0611,JN0692,284.46,2,"[26.42, 224.94, 21.47, 19.51, 152.87, 45.55, 2.2, 120.36, 39.03, 45.66, 21.88, 58.34, 203.53, 230.11]","[128.73, 144.1, 9.29, 19.72, 73.27]",Single Line,Yes,100
TK0059,JN0797,JN0919,392.01,4,"[306.07, 142.61, 288.54, 201.09, 289.56, 355.67, 361.05, 209.77, 200.52, 104.15, 366.84, 179.51, 50.02, 169.63, 49.81, 197.0, 220.03, 132.4, 28.09]","[369.86, 303.16, 328.85, 143.82, 298.25, 190.27, 78.83]",Double Line,Yes,140
TK0060,JN0576,JN0289,258.22,1,"[116.74, 77.63, 147.53, 38.73, 202.42, 85.84, 152.7, 184.79, 229.57, 215.82, 157.08, 100.29]","[129.94, 198.5, 226.6, 26.8, 99.38]",Single Line,No,120
TK0061,JN0229,JN0161,422.01,5,"[421.93, 208.05, 87.99, 68.72, 17.87, 235.83, 229.82, 86.61, 293.44, 312.76, 109.34, 145.21, 417.99, 157.94, 321.07, 191.06, 334.8, 324.54, 281.8, 360.73, 396.36]","[244.76, 100.22, 168.23, 320.02, 274.68, 75.03, 21.62, 288.22]",Loop,Yes,140
TK0062,JN0278,JN0016,460.78,3,"[85.51, 101.06, 118.82, 260.53, 232.22, 93.61, 31.13, 78.99, 453.58, 215.9, 399.66, 391.09, 235.7, 325.63, 88.82, 317.2, 125.51, 383.4, 38.58, 356.25, 46.05, 406.03, 140.17]","[301.53, 224.63, 168.79, 297.41, 436.6, 19.02, 423.39, 280.65, 371.99]",Yard Track,Yes,80
TK0063,JN0233,JN0491,269.66,4,"[187.01, 2.4, 50.87, 185.87, 17.77, 126.34, 178.67, 206.55, 122.37, 169.96, 145.5, 14.1, 200.3]","[46.48, 8.58, 121.66, 233.42, 40.67]",Loop,Yes,120
TK0064,JN0903,JN0600,123.67,3,"[99.18, 93.16, 86.06, 60.29, 45.17, 46.45]","[62.22, 9.56]",Yard Track,Yes,100
TK0065,JN0782,JN0359,94.25,3,"[7.24, 37.03, 63.14, 44.29]",[36.16],Junction Track,Yes,140
TK0066,JN0510,JN0402,404.71,3,"[181.0, 230.65, 245.12, 147.93, 30.89, 265.22, 197.67, 55.4, 378.76, 386.77, 346.68, 341.52, 39.93, 402.05, 162.04, 66.02, 328.67, 91.36, 212.95, 51.81]","[192.09, 225.89, 180.47, 28.12, 196.26, 189.79, 105.88, 372.98]",Junction Track,Yes,160
TK0067,JN0970,JN0458,162.84,2,"[92.67, 5.81, 83.62, 99.26, 31.15, 44.51, 104.28, 76.26]","[139.72, 55.75, 43.42]",Yard Track,No,100
TK0068,JN0392,JN0755,327.26,9,"[8.99, 89.57, 88.15, 268.13, 232.57, 321.24, 232.85, 136.88, 228.73, 327.08, 232.4, 249.27, 307.09, 37.19, 230.65, 278.44]","[312.33, 69.04, 164.92, 222.72, 80.99, 196.51]",Double Line,Yes,160
TK0069,JN0671,JN0958,168.48,2,"[50.31, 26.78, 7.98, 33.02, 98.05, 132.45, 28.52, 18.29]","[126.24, 51.41, 160.31]",Yard Track,No,120
TK0070,JN0304,JN0901,282.01,2,"[49.59, 218.48, 144.91, 2.98, 189.94, 119.48, 144.07, 60.38, 155.61, 276.13, 20.71, 80.07, 68.53, 70.09]","[106.8, 230.71, 257.43, 57.03, 153.12]",Junction Track,Yes,140
TK0071,JN0434,JN0359,100.03,4,"[15.74, 61.55, 99.54, 17.78, 54.66]","[11.98, 93.45]",Loop,Yes,80
TK0072,JN0509,JN0666,404.0,5,"[347.72, 39.43, 97.14, 164.24, 349.8, 379.31, 401.06, 387.51, 2.4, 19.27, 59.63, 140.94, 335.28, 360.63, 75.48, 250.34, 370.61, 187.35, 41.83, 184.95]","[151.82, 233.37, 177.22, 7.01, 401.57, 219.59, 191.34, 385.66]",Yard Track,Yes,160
TK0073,JN0500,JN0121,476.61,6,"[129.41, 15.82, 246.41, 93.74, 361.2, 305.6, 440.2, 373.18, 86.16, 381.36, 305.86, 318.83, 396.66, 273.49, 222.1, 303.43, 142.01, 87.03, 293.87, 111.45, 38.09, 0.26, 289.93]","[172.6, 358.56, 178.81, 231.63, 194.02, 310.07, 169.74, 459.34, 446.17]",Double Line,No,120
TK0074,JN0427,JN0395,270.53,1,"[199.87, 108.68, 129.96, 263.58, 93.16, 175.36, 106.19, 241.93, 229.08, 65.37, 187.14, 17.63, 260.57]","[94.41, 225.04, 86.15, 171.19, 266.09]",Single Line,No,140
TK0075,JN0965,JN0932,177.52,3,"[150.96, 12.01, 176.35, 124.04, 28.81, 2.2, 30.41, 148.8]","[3.84, 41.39, 134.44]",Yard Track,Yes,80
TK0076,JN0036,JN0778,110.5,1,"[25.09, 61.15, 71.2, 18.63, 107.88]","[53.94, 6.37]",Single Line,No,80
TK0077,JN0343,JN0841,418.2,6,"[6.84, 180.6, 148.59, 141.44, 140.96, 13.08, 63.61, 59.34, 413.43, 9.27, 69.87, 407.4, 262.73, 188.47, 32.94, 280.05, 57.63, 280.69, 409.49, 222.47]","[89.53, 261.49, 214.5, 222.96, 199.94, 281.76, 239.18, 412.76]",Double Line,No,80
TK0078,JN0034,JN0495,6.99,2,[1.03],[],Yard Track,Yes,160
TK0079,JN0207,JN0912,201.77,1,"[145.34, 167.46, 40.46, 179.35, 65.01, 2.7, 170.17, 190.03, 132.27, 46.7]","[50.8, 94.15, 181.16, 30.18]",Single Line,No,160
TK0080,JN0808,JN0202,460.53,8,"[107.3, 183.73, 361.75, 224.67, 99.7, 53.84, 229.8, 365.83, 300.65, 106.91, 201.12, 393.86, 81.82, 245.04, 164.06, 57.19, 22.98, 256.0, 9.56, 47.64, 160.07, 20.04, 184.42]","[60.04, 161.13, 364.36, 288.46, 205.12, 42.29, 285.14, 75.39, 35.27]",Double Line,Yes,100
TK0081,JN0816,JN0910,25.29,2,[15.06],[],Single Line,No,80
TK0082,JN0584,JN0721,22.32,5,[20.06],[],Loop,Yes,140
TK0083,JN0678,JN0596,231.48,2,"[75.41, 222.07, 219.76, 2.6, 46.63, 230.04, 114.08, 132.61, 38.52, 207.03, 53.53]","[43.9, 52.81, 212.88, 162.7]",Yard Track,No,140
TK0084,JN0023,JN0953,321.07,4,"[117.57, 196.17, 292.15, 253.93, 180.88, 24.47, 209.57, 169.06, 59.13, 283.26, 110.21, 124.41, 215.89, 156.94, 28.67, 124.4]","[30.33, 61.24, 2.3, 58.21, 106.1, 172.81]",Yard Track,No,120
TK0085,JN0457,JN0781,182.05,2,"[74.17, 71.01, 147.42, 74.2, 4.82, 10.57, 155.88, 174.88, 125.33]","[66.33, 170.87, 120.66]",Single Line,No,100
TK0086,JN0908,JN0561,97.14,5,"[10.21, 34.62, 62.13, 3.37]",[67.08],Loop,Yes,100
TK0087,JN0217,JN0431,148.58,4,"[0.96, 147.05, 54.07, 126.01, 79.48, 19.38, 118.5]","[105.46, 78.36]",Junction Track,Yes,140
TK0088,JN0944,JN0201,51.16,3,"[10.64, 7.76]",[27.96],Junction Track,No,100
TK0089,JN0046,JN0168,300.56,5,"[223.7, 224.25, 201.6, 193.45, 73.25, 6.72, 243.07, 147.62, 92.22, 30.64, 18.85, 104.86, 241.87, 276.13, 269.53]","[276.52, 272.83, 158.46, 65.95, 239.86, 64.23]",Yard Track,Yes,100
TK0090,JN0772,JN0195,477.41,2,"[216.35, 417.21, 272.39, 419.32, 93.51, 79.71, 274.78, 221.2, 315.17, 379.36, 358.68, 449.84, 190.13, 98.53, 263.01, 52.87, 137.9, 99.25, 189.32, 53.1, 15.2, 313.56, 291.34]","[338.17, 315.27, 54.56, 138.96, 61.84, 402.44, 356.58, 96.21, 162.94]",Single Line,No,100
TK0091,JN0464,JN0141,108.98,5,"[74.74, 74.21, 60.22, 61.42, 80.17]","[29.42, 38.44]",Double Line,No,80
TK0092,JN0428,JN0419,352.81,3,"[151.12, 187.48, 96.52, 326.98, 172.96, 297.07, 167.69, 253.42, 118.85, 220.44, 175.83, 129.52, 311.02, 39.77, 171.79, 68.57, 303.79]","[89.43, 223.48, 58.41, 142.86, 317.3, 58.59, 233.98]",Loop,Yes,160
TK0093,JN0561,JN0559,405.58,3,"[259.62, 110.22, 162.79, 15.14, 311.79, 339.51, 80.81, 81.7, 17.05, 393.57, 327.38, 146.29, 195.45, 118.41, 242.23, 290.92, 181.44, 354.31, 209.69, 58.51]","[252.39, 187.47, 379.49, 158.94, 163.39, 263.94, 213.73, 151.87]",Loop,No,80
TK0094,JN0110,JN0834,163.73,6,"[96.67, 26.6, 161.4, 76.0, 97.81, 26.26, 47.38, 100.63]","[89.98, 128.42, 44.08]",Double Line,Yes,100
TK0095,JN0523,JN0880,304.49,3,"[215.44, 189.36, 151.04, 90.95, 36.31, 124.56, 8.68, 64.26, 131.69, 127.46, 13.49, 179.36, 167.37, 23.78, 287.18]","[30.26, 260.29, 0.09, 268.65, 6.0, 230.75]",Loop,Yes,100
TK0096,JN0299,JN0522,384.92,2,"[206.98, 329.91, 104.29, 290.79, 221.16, 18.64, 156.02, 70.79, 138.25, 147.56, 182.81, 231.06, 219.78, 15.01, 288.95, 365.36, 134.21, 69.19, 207.86]","[271.33, 261.32, 235.61, 56.29, 322.11, 163.83, 85.25]",Loop,Yes,140
TK0097,JN0843,JN0392,481.55,2,"[403.01, 320.26, 128.48, 56.36, 7.73, 51.53, 140.9, 265.72, 30.82, 65.6, 87.2, 304.33, 296.54, 265.22, 120.63, 178.71, 46.56, 109.05, 432.29, 471.78, 311.88, 441.5, 309.52, 15.99]","[480.0, 47.65, 328.73, 121.75, 188.76, 311.05, 210.19, 120.65, 161.05]",Loop,Yes,80
TK0098,JN0087,JN0776,231.98,7,"[216.92, 160.26, 51.2, 142.59, 201.91, 161.49, 56.78, 150.52, 143.63, 190.42, 41.32]","[162.3, 6.35, 161.5, 222.8]",Double Line,Yes,120
TK0099,JN0600,JN0844,31.44,4,[20.89],[],Yard Track,No,80
TK0100,JN0214,JN0447,194.08,4,"[12.59, 37.32, 13.3, 168.46, 153.82, 111.52, 16.24, 53.04, 57.78]","[108.83, 50.08, 14.16]",Double Line,No,100
TK0101,JN0833,JN0469,446.48,4,"[402.54, 221.22, 420.33, 398.2, 257.38, 416.96, 144.25, 163.25, 20.3, 263.07, 322.32, 345.36, 66.89, 198.31, 78.97, 295.63, 70.52, 403.69, 102.97, 130.1, 379.91, 204.7]","[10.71, 220.82, 37.75, 439.93, 262.58, 114.54, 251.69, 34.32]",Yard Track,No,160
TK0102,JN0618,JN0224,166.26,3,"[76.21, 27.14, 138.04, 53.97, 69.67, 113.47, 58.75, 104.52]","[147.18, 132.57, 63.44]",Loop,Yes,140
TK0103,JN0669,JN0270,249.29,2,"[87.07, 127.59, 232.8, 9.31, 124.71, 213.0, 146.58, 69.02, 99.14, 169.58, 222.07, 10.24]","[17.83, 81.03, 58.03, 66.04]",Single Line,Yes,100
TK0104,JN0253,JN0672,467.31,3,"[115.44, 113.86, 447.2, 215.79, 13.75, 158.81, 273.14, 153.54, 12.55, 207.63, 49.49, 289.34, 289.54, 17.65, 135.83, 193.32, 257.14, 138.35, 134.47, 459.37, 19.56, 462.19, 22.31]","[134.74, 230.71, 66.96, 63.01, 119.78, 454.93, 177.63, 264.49, 329.12]",Yard Track,No,120
TK0105,JN0016,JN0277,60.31,3,"[15.64, 32.94, 14.32]",[40.95],Yard Track,Yes,160
TK0106,JN0871,JN0333,170.66,2,"[34.83, 161.42, 14.36, 36.12, 13.78, 167.31, 156.74, 122.3]","[72.7, 32.46, 37.8]",Junction Track,Yes,140
TK0107,JN0215,JN0993,158.84,5,"[114.19, 140.4, 0.83, 148.3, 81.25, 111.31, 135.91]","[74.2, 132.63, 28.21]",Junction Track,Yes,80
TK0108,JN0293,JN0919,478.52,1,"[251.46, 158.58, 468.95, 152.98, 356.11, 254.57, 291.19, 188.29, 461.69, 273.56, 448.75, 3.63, 274.04, 343.19, 356.54, 433.05, 2.11, 0.16, 225.99, 14.02, 466.34, 106.26, 226.18]","[29.26, 249.81, 181.82, 21.37, 160.36, 187.31, 473.7, 99.48, 260.69]",Single Line,No,80
TK0109,JN0526,JN0301,484.31,4,"[51.35, 195.51, 276.66, 3.71, 316.21, 319.5, 316.02, 79.17, 123.85, 119.81, 464.97, 32.7, 207.65, 421.95, 372.66, 398.32, 470.89, 187.55, 149.97, 14.85, 72.66, 272.19, 76.36, 356.6]","[18.03, 125.67, 336.81, 123.74, 352.94, 482.3, 386.03, 165.55, 436.16]",Yard Track,Yes,80
TK0110,JN0755,JN0981,91.4,4,"[39.72, 2.24, 33.14, 11.68]",[11.1],Yard Track,Yes,160
TK0111,JN0553,JN0441,41.62,9,"[10.69, 25.44]",[],Double Line,Yes,120
TK0112,JN0716,JN0498,441.63,8,"[77.76, 116.99, 33.74, 343.8, 30.83, 245.85, 109.47, 107.51, 437.54, 334.22, 369.62, 252.61, 384.67, 285.07, 417.86, 124.25, 262.91, 304.78, 173.53, 388.51, 432.71, 218.06]","[172.52, 208.42, 376.6, 285.06, 19.77, 239.44, 7.64, 343.83]",Double Line,Yes,100
TK0113,JN0475,JN0563,201.99,4,"[12.34, 132.4, 94.31, 94.85, 76.56, 187.66, 50.39, 63.95, 194.52, 163.64]","[2.85, 183.03, 45.78, 142.59]",Loop,Yes,80
TK0114,JN0054,JN0257,107.55,4,"[80.28, 100.05, 97.61, 6.13, 22.12]","[51.29, 46.42]",Yard Track,Yes,80
TK0115,JN0526,JN0355,208.66,2,"[186.56, 201.27, 99.89, 21.7, 163.86, 145.46, 74.0, 185.16, 203.62, 116.4]","[118.04, 62.08, 121.96, 91.73]",Yard Track,Yes,160
TK0116,JN0599,JN0362,273.31,2,"[89.32, 44.11, 3.58, 224.47, 174.0, 62.68, 114.36, 219.04, 147.23, 82.04, 73.02, 59.48, 225.13]","[159.03, 193.82, 235.08, 269.72, 68.19]",Single Line,Yes,120
TK0117,JN0692,JN0634,396.9,5,"[55.9, 271.39, 123.92, 361.0, 266.33, 256.27, 222.03, 18.17, 369.88, 249.23, 394.54, 213.28, 281.84, 22.31, 250.74, 303.49, 308.99, 305.66, 89.81]","[387.14, 394.99, 30.0, 371.68, 114.88, 273.58, 134.2]",Junction Track,No,80
TK0118,JN0806,JN0456,216.88,5,"[8.56, 130.72, 26.76, 109.5, 206.42, 151.51, 133.92, 124.67, 38.94, 93.83]","[74.29, 206.71, 52.56, 102.26]",Loop,No,140
TK0119,JN0002,JN0150,361.15,4,"[298.54, 105.26, 59.51, 255.07, 230.76, 317.43, 347.4, 309.57, 21.68, 239.99, 283.4, 354.62, 135.31, 61.35, 308.03, 114.65, 216.04, 140.81]","[145.3, 264.53, 130.55, 250.3, 5.17, 117.25, 115.22]",Junction Track,No,120
TK0120,JN0457,JN0535,330.92,5,"[61.92, 258.84, 316.3, 192.01, 225.69, 111.68, 126.26, 243.11, 307.02, 208.15, 261.38, 56.8, 70.14, 176.06, 58.43, 210.13]","[96.51, 261.93, 267.42, 153.48, 59.83, 214.03]",Junction Track,No,100
