Signal_ID,Location,Track_ID,Position_KM,Initial_State,Red_Time_Sec,Yellow_Time_Sec,Green_Time_Sec,Controlled_Tracks,Signal_Type,Last_Maintenance
SG0037,JN0325-JN0407,TK0301,334.7,Yellow,155,7,245,"[""TK0301"", ""TK0660""]",Manual,2025-01-23 17:37:29.554267
SG0038,JN0692-JN0097,TK1523,21.72,Red,168,6,123,"[""TK1523""]",Automatic,2024-10-26 17:37:29.555067
SG0039,JN0075-JN0440,TK1123,140.49,Yellow,87,10,194,"[""TK1123""]",Manual,2025-05-30 17:37:29.555828
SG0040,JN0705-JN0009,TK0628,62.37,Red,116,9,130,"[""TK0628""]",Automatic,2025-01-30 17:37:29.556627
SG0041,JN0975-JN0838,TK2015,309.49,Yellow,90,5,175,"[""TK2015""]",Automatic,2025-04-02 17:37:29.557596
SG0042,JN0666-JN0563,TK1499,204.37,Yellow,135,7,272,"[""TK1499""]",Semi-Automatic,2025-06-08 17:37:29.558460
SG0043,JN0355-JN0817,TK2019,211.09,Red,89,8,181,"[""TK2019""]",Manual,2024-11-01 17:37:29.559308
SG0044,JN0598-JN0394,TK1438,189.12,Green,71,12,159,"[""TK1438""]",Manual,2025-06-01 17:37:29.560118
SG0045,JN0688-JN0133,TK1059,104.11,Yellow,101,8,297,"[""TK1059""]",Semi-Automatic,2024-10-10 17:37:29.560893
SG0046,JN0442-JN0154,TK0633,1.06,Green,156,10,256,"[""TK0633""]",Semi-Automatic,2025-01-09 17:37:29.561670
SG0047,JN0061-JN0059,TK2294,75.43,Red,109,5,293,"[""TK2294""]",Manual,2024-10-24 17:37:29.562438
SG0048,JN0866-JN0009,TK1193,66.72,Red,99,14,289,"[""TK1193""]",Manual,2025-05-30 17:37:29.563208
SG0049,JN0081-JN0697,TK1141,244.95,Yellow,107,12,180,"[""TK1141""]",Manual,2025-02-07 17:37:29.563963
SG0050,JN0463-JN0118,TK0528,136.92,Yellow,118,12,224,"[""TK0528""]",Manual,2025-09-17 17:37:29.564728
SG0051,JN0612-JN0061,TK0219,215.09,Green,161,6,111,"[""TK0219""]",Semi-Automatic,2025-04-02 17:37:29.565494
SG0052,JN0214-JN0029,TK2499,45.72,Yellow,83,9,255,"[""TK2499"", ""TK0010"", ""TK2121""]",Automatic,2025-01-19 17:37:29.566746
SG0053,JN0131-JN0807,TK0738,58.05,Green,174,10,264,"[""TK0738""]",Semi-Automatic,2025-08-25 17:37:29.567584
SG0054,JN0958-JN0052,TK2628,97.67,Red,164,7,224,"[""TK2628"", ""TK2347""]",Manual,2025-03-27 17:37:29.568818
SG0055,JN0680-JN0336,TK1739,45.13,Red,80,6,213,"[""TK1739""]",Semi-Automatic,2025-07-19 17:37:29.569619
SG0056,JN0663-JN0047,TK1631,150.39,Yellow,140,8,241,"[""TK1631""]",Manual,2025-04-13 17:37:29.570432
SG0057,JN0411-JN0772,TK0946,246.78,Green,74,5,232,"[""TK0946"", ""TK2784""]",Automatic,2024-12-29 17:37:29.571636
SG0058,JN0425-JN0724,TK2205,215.45,Yellow,133,14,105,"[""TK2205""]",Semi-Automatic,2024-10-27 17:37:29.572427
SG0059,JN0355-JN0817,TK2019,37.34,Red,166,12,100,"[""TK2019"", ""TK0733"", ""TK0783""]",Manual,2025-07-31 17:37:29.573638
SG0060,JN0530-JN0362,TK2411,28.45,Green,99,5,246,"[""TK2411""]",Automatic,2025-01-16 17:37:29.574425
SG0061,JN0536-JN0680,TK2018,102.1,Red,108,10,200,"[""TK2018"", ""TK2389""]",Automatic,2024-12-02 17:37:29.575740
SG0062,JN0904-JN0436,TK1894,35.37,Green,178,11,195,"[""TK1894""]",Manual,2024-10-19 17:37:29.576925
SG0063,JN0084-JN0060,TK0866,256.23,Green,92,11,194,"[""TK0866""]",Manual,2025-05-01 17:37:29.578118
SG0064,JN0949-JN0622,TK2771,365.33,Green,173,5,192,"[""TK2771"", ""TK1022"", ""TK2629""]",Manual,2025-07-27 17:37:29.579344
SG0065,JN0510-JN1000,TK2925,34.88,Yellow,104,9,173,"[""TK2925""]",Automatic,2025-08-10 17:37:29.580137
SG0066,JN0738-JN0772,TK0294,169.9,Yellow,84,13,262,"[""TK0294""]",Semi-Automatic,2025-01-22 17:37:29.580928
SG0067,JN0599-JN0362,TK0116,158.7,Green,92,8,117,"[""TK0116""]",Semi-Automatic,2024-10-10 17:37:29.581720
SG0068,JN0772-JN0593,TK1866,15.21,Red,128,10,231,"[""TK1866"", ""TK2458"", ""TK2964""]",Semi-Automatic,2025-02-12 17:37:29.582921
SG0069,JN0351-JN0167,TK0381,37.47,Green,178,11,236,"[""TK0381""]",Automatic,2025-04-11 17:37:29.583692
SG0070,JN0908-JN0561,TK0086,80.04,Yellow,135,5,168,"[""TK0086"", ""TK2895""]",Semi-Automatic,2025-01-24 17:37:29.584885
SG0071,JN0719-JN0662,TK2429,57.95,Red,91,13,210,"[""TK2429""]",Automatic,2025-04-12 17:37:29.585689
SG0072,JN0999-JN0130,TK0648,204.96,Yellow,157,11,203,"[""TK0648""]",Automatic,2025-03-26 17:37:29.586467
SG0073,JN0065-JN0429,TK0912,46.26,Yellow,92,10,263,"[""TK0912"", ""TK1425"", ""TK0326""]",Semi-Automatic,2025-01-29 17:37:29.587673
SG0074,JN0386-JN0919,TK1673,133.71,Red,153,10,241,"[""TK1673""]",Semi-Automatic,2025-06-13 17:37:29.588446
SG0075,JN0062-JN0998,TK2972,12.39,Red,105,9,222,"[""TK2972""]",Semi-Automatic,2024-10-02 17:37:29.589219
SG0076,JN0994-JN0808,TK1677,138.48,Green,117,10,289,"[""TK1677""]",Manual,2025-07-07 17:37:29.589986
SG0077,JN0451-JN0041,TK1692,119.52,Green,107,13,144,"[""TK1692""]",Semi-Automatic,2025-04-01 17:37:29.590748
SG0078,JN0805-JN0311,TK0277,127.15,Red,124,13,248,"[""TK0277"", ""TK0782"", ""TK0227""]",Semi-Automatic,2024-12-08 17:37:29.592263
SG0079,JN0131-JN0807,TK0738,30.23,Red,83,12,282,"[""TK0738""]",Manual,2025-07-04 17:37:29.593169
SG0080,JN0972-JN0195,TK1900,196.12,Yellow,111,6,211,"[""TK1900""]",Manual,2025-03-20 17:37:29.593995
SG0081,JN0218-JN0902,TK2890,140.02,Red,130,10,200,"[""TK2890""]",Automatic,2024-11-16 17:37:29.594776
SG0082,JN0941-JN0594,TK2365,218.92,Red,175,6,117,"[""TK2365"", ""TK2074"", ""TK1158""]",Semi-Automatic,2025-02-22 17:37:29.596408
SG0083,JN0456-JN0534,TK0057,231.65,Red,89,9,172,"[""TK0057"", ""TK1255"", ""TK0316""]",Manual,2025-07-20 17:37:29.598017
SG0084,JN0332-JN0562,TK0640,58.59,Yellow,169,8,273,"[""TK0640""]",Manual,2024-10-09 17:37:29.598914
SG0085,JN0113-JN0339,TK0899,361.38,Yellow,102,5,178,"[""TK0899""]",Semi-Automatic,2025-06-12 17:37:29.599752
SG0086,JN0561-JN0559,TK0093,78.02,Red,129,5,138,"[""TK0093""]",Semi-Automatic,2024-10-23 17:37:29.600532
SG0087,JN0620-JN0231,TK0512,4.13,Yellow,79,10,143,"[""TK0512""]",Semi-Automatic,2025-04-08 17:37:29.601525
SG0088,JN0852-JN0136,TK0486,234.69,Red,178,7,274,"[""TK0486"", ""TK0992"", ""TK1393""]",Automatic,2025-06-25 17:37:29.603725
SG0089,JN0458-JN0516,TK2624,234.85,Yellow,174,9,159,"[""TK2624""]",Manual,2025-06-20 17:37:29.604925
SG0090,JN0869-JN0174,TK2363,59.18,Green,124,9,111,"[""TK2363""]",Automatic,2025-02-23 17:37:29.605828
SG0091,JN0956-JN0023,TK0986,421.45,Red,102,14,96,"[""TK0986""]",Automatic,2025-06-07 17:37:29.606745
SG0092,JN0199-JN0526,TK0706,101.55,Yellow,109,10,264,"[""TK0706""]",Manual,2024-10-15 17:37:29.608107
SG0093,JN0380-JN0358,TK2768,37.75,Yellow,94,5,285,"[""TK2768""]",Manual,2025-05-26 17:37:29.609111
SG0094,JN0190-JN0074,TK2274,19.25,Red,88,6,255,"[""TK2274""]",Semi-Automatic,2025-02-24 17:37:29.610072
SG0095,JN0726-JN0284,TK0380,256.31,Yellow,78,5,252,"[""TK0380""]",Automatic,2025-01-30 17:37:29.610883
SG0096,JN0207-JN0148,TK0463,54.3,Red,151,9,205,"[""TK0463""]",Semi-Automatic,2024-11-08 17:37:29.611740
SG0097,JN0361-JN0043,TK1508,332.46,Green,106,9,98,"[""TK1508"", ""TK0665"", ""TK2563""]",Automatic,2025-01-18 17:37:29.613081
SG0098,JN0950-JN0717,TK1769,16.01,Yellow,65,11,160,"[""TK1769"", ""TK0125""]",Semi-Automatic,2025-07-22 17:37:29.614883
SG0099,JN0916-JN0180,TK2985,248.23,Red,178,12,115,"[""TK2985"", ""TK1157""]",Semi-Automatic,2025-04-11 17:37:29.617063
SG0100,JN0734-JN0872,TK0751,63.5,Green,78,7,253,"[""TK0751"", ""TK2339"", ""TK0852""]",Manual,2025-01-01 17:37:29.618977
SG0101,JN0970-JN0628,TK0829,115.27,Red,162,5,187,"[""TK0829""]",Semi-Automatic,2025-06-24 17:37:29.620485
SG0102,JN0793-JN0679,TK2181,61.9,Yellow,152,12,222,"[""TK2181""]",Semi-Automatic,2025-03-13 17:37:29.621527
SG0103,JN0448-JN0035,TK0330,194.99,Green,65,9,269,"[""TK0330""]",Manual,2025-01-12 17:37:29.622565
SG0104,JN0226-JN0458,TK1105,16.37,Red,90,10,222,"[""TK1105""]",Automatic,2025-01-05 17:37:29.624097
SG0105,JN0041-JN0307,TK2861,12.92,Green,179,7,200,"[""TK2861"", ""TK1979""]",Manual,2025-07-09 17:37:29.625671
SG0106,JN0086-JN0324,TK0761,41.76,Green,122,8,227,"[""TK0761""]",Automatic,2025-07-31 17:37:29.626698
SG0107,JN0297-JN0703,TK2252,108.22,Yellow,74,9,286,"[""TK2252"", ""TK1354""]",Semi-Automatic,2025-03-19 17:37:29.628487
SG0108,JN0065-JN0429,TK0912,53.17,Green,121,10,195,"[""TK0912"", ""TK0824"", ""TK1848""]",Manual,2024-12-21 17:37:29.629753
SG0109,JN0481-JN0075,TK2004,152.08,Red,133,13,245,"[""TK2004"", ""TK2963""]",Manual,2024-10-09 17:37:29.631169
SG0110,JN0104-JN0844,TK0442,144.85,Green,100,8,196,"[""TK0442""]",Manual,2025-04-28 17:37:29.632028
SG0111,JN0521-JN0113,TK1981,48.39,Red,98,8,283,"[""TK1981""]",Semi-Automatic,2025-04-22 17:37:29.632830
SG0112,JN0665-JN0316,TK0583,164.46,Green,98,14,122,"[""TK0583""]",Manual,2025-01-07 17:37:29.633598
SG0113,JN0398-JN0459,TK0213,298.54,Yellow,116,9,251,"[""TK0213""]",Automatic,2025-08-02 17:37:29.634357
SG0114,JN0524-JN0727,TK1534,34.19,Yellow,161,14,228,"[""TK1534"", ""TK2646"", ""TK0458""]",Semi-Automatic,2025-04-22 17:37:29.635547
SG0115,JN0514-JN0243,TK0938,232.42,Yellow,147,9,196,"[""TK0938""]",Manual,2025-04-27 17:37:29.636302
SG0116,JN0586-JN0265,TK1388,206.01,Yellow,168,9,232,"[""TK1388"", ""TK0864""]",Semi-Automatic,2025-03-26 17:37:29.637506
SG0117,JN0651-JN0868,TK1920,148.26,Green,113,13,141,"[""TK1920""]",Manual,2024-12-04 17:37:29.638270
SG0118,JN0521-JN0505,TK0343,12.19,Red,156,12,101,"[""TK0343"", ""TK1597""]",Semi-Automatic,2025-09-15 17:37:29.639467
SG0119,JN0138-JN0743,TK0928,85.74,Red,148,6,114,"[""TK0928"", ""TK0407""]",Semi-Automatic,2025-04-22 17:37:29.640690
SG0120,JN0343-JN0218,TK0704,311.66,Yellow,159,10,260,"[""TK0704""]",Semi-Automatic,2025-08-11 17:37:29.641491
SG0121,JN0427-JN0849,TK1578,326.64,Green,85,11,209,"[""TK1578"", ""TK2385""]",Manual,2025-06-23 17:37:29.642792
SG0122,JN0199-JN0815,TK0222,88.89,Yellow,75,14,129,"[""TK0222""]",Semi-Automatic,2025-05-04 17:37:29.643588
SG0123,JN0514-JN0768,TK1030,43.37,Green,162,12,181,"[""TK1030"", ""TK2660""]",Automatic,2025-09-16 17:37:29.644989
SG0124,JN0186-JN0281,TK0562,60.78,Red,169,9,251,"[""TK0562""]",Manual,2025-03-24 17:37:29.645857
SG0125,JN0446-JN0961,TK0566,37.15,Yellow,163,13,256,"[""TK0566""]",Automatic,2024-12-30 17:37:29.646714
SG0126,JN0863-JN0368,TK2759,269.54,Red,141,6,257,"[""TK2759"", ""TK0176""]",Semi-Automatic,2025-01-28 17:37:29.647990
SG0127,JN0251-JN0166,TK2095,78.53,Red,75,13,126,"[""TK2095"", ""TK1087""]",Automatic,2025-09-15 17:37:29.649586
SG0128,JN0369-JN0345,TK1482,446.17,Green,170,14,254,"[""TK1482"", ""TK2272""]",Semi-Automatic,2024-10-04 17:37:29.650912
SG0129,JN0371-JN0046,TK2930,32.12,Red,112,14,298,"[""TK2930""]",Semi-Automatic,2025-07-23 17:37:29.651852
SG0130,JN0177-JN0349,TK1761,20.4,Green,108,10,129,"[""TK1761""]",Automatic,2024-10-13 17:37:29.652761
SG0131,JN0759-JN0435,TK2817,329.55,Yellow,100,5,123,"[""TK2817""]",Manual,2025-06-08 17:37:29.653557
SG0132,JN0727-JN0069,TK0487,70.59,Yellow,167,5,267,"[""TK0487""]",Semi-Automatic,2025-03-14 17:37:29.654389
SG0133,JN0139-JN0657,TK0491,229.78,Green,132,7,94,"[""TK0491"", ""TK0074""]",Automatic,2024-09-24 17:37:29.656045
SG0134,JN0926-JN0620,TK2415,14.3,Green,159,13,203,"[""TK2415""]",Semi-Automatic,2025-04-15 17:37:29.656832
SG0135,JN0343-JN0945,TK2763,10.56,Red,91,8,271,"[""TK2763"", ""TK0985""]",Manual,2025-03-26 17:37:29.658047
SG0136,JN0763-JN0838,TK2995,64.83,Green,152,7,142,"[""TK2995""]",Automatic,2024-10-12 17:37:29.658816
SG0137,JN0081-JN0303,TK1585,38.61,Red,70,6,224,"[""TK1585"", ""TK2509""]",Semi-Automatic,2025-02-11 17:37:29.660018
SG0138,JN0461-JN0630,TK0544,183.74,Yellow,134,7,122,"[""TK0544"", ""TK0276"", ""TK1768""]",Automatic,2025-01-18 17:37:29.661326
SG0139,JN0515-JN0528,TK1241,113.0,Yellow,105,9,187,"[""TK1241""]",Automatic,2025-05-18 17:37:29.662103
SG0140,JN0379-JN0147,TK1367,80.9,Green,123,12,271,"[""TK1367""]",Semi-Automatic,2025-01-11 17:37:29.662869
SG0141,JN0451-JN0041,TK1692,34.32,Yellow,86,9,152,"[""TK1692""]",Semi-Automatic,2025-05-31 17:37:29.663628
SG0142,JN0830-JN0178,TK2591,3.13,Yellow,171,11,141,"[""TK2591"", ""TK2935"", ""TK2495""]",Manual,2025-05-26 17:37:29.664814
SG0143,JN0423-JN0190,TK2613,67.16,Green,67,5,120,"[""TK2613""]",Manual,2025-03-22 17:37:29.665568
SG0144,JN0007-JN0852,TK0367,18.99,Red,62,11,167,"[""TK0367"", ""TK0184""]",Manual,2024-10-23 17:37:29.666750
SG0145,JN0039-JN0505,TK0358,23.16,Green,81,9,158,"[""TK0358"", ""TK2195"", ""TK0320""]",Semi-Automatic,2025-02-15 17:37:29.667957
SG0146,JN0236-JN0181,TK0529,85.39,Green,123,9,186,"[""TK0529"", ""TK0844"", ""TK1688""]",Semi-Automatic,2025-03-14 17:37:29.669151
SG0147,JN0139-JN0881,TK0306,22.34,Red,108,10,245,"[""TK0306"", ""TK1191"", ""TK1636""]",Automatic,2025-05-13 17:37:29.670350
SG0148,JN0598-JN0065,TK1713,90.45,Yellow,177,12,245,"[""TK1713"", ""TK2483"", ""TK1798""]",Automatic,2025-08-26 17:37:29.671554
SG0149,JN0945-JN0415,TK2842,139.89,Red,89,9,269,"[""TK2842""]",Semi-Automatic,2025-08-01 17:37:29.672314
SG0150,JN0727-JN0309,TK1748,135.42,Yellow,134,10,197,"[""TK1748""]",Semi-Automatic,2025-05-18 17:37:29.673080
SG0151,JN0965-JN0964,TK2272,173.87,Yellow,95,13,189,"[""TK2272"", ""TK1007""]",Automatic,2025-07-16 17:37:29.674283
SG0152,JN0877-JN0925,TK1804,41.74,Yellow,145,5,214,"[""TK1804"", ""TK1981""]",Semi-Automatic,2025-06-20 17:37:29.675536
SG0153,JN0909-JN0346,TK0724,36.39,Yellow,84,8,232,"[""TK0724""]",Manual,2025-05-25 17:37:29.676350
SG0154,JN0345-JN0767,TK1466,347.57,Red,130,9,169,"[""TK1466""]",Automatic,2024-10-29 17:37:29.677144
SG0155,JN0882-JN0921,TK1051,375.18,Red,103,8,276,"[""TK1051""]",Automatic,2025-04-20 17:37:29.677911
SG0156,JN0402-JN0125,TK0231,65.51,Green,103,9,292,"[""TK0231""]",Automatic,2025-04-21 17:37:29.678669
SG0157,JN0682-JN0969,TK2186,32.42,Yellow,170,6,192,"[""TK2186""]",Automatic,2025-05-15 17:37:29.679433
SG0158,JN0462-JN0231,TK0130,240.71,Red,171,9,173,"[""TK0130""]",Semi-Automatic,2024-09-19 17:37:29.680187
SG0159,JN0844-JN0578,TK2323,178.32,Red,119,6,196,"[""TK2323"", ""TK0153"", ""TK2662""]",Automatic,2025-06-17 17:37:29.681369
SG0160,JN0863-JN0368,TK2759,325.78,Yellow,142,11,106,"[""TK2759"", ""TK1385"", ""TK0766""]",Semi-Automatic,2025-04-17 17:37:29.682543
SG0161,JN0071-JN0993,TK2860,8.13,Green,177,13,149,"[""TK2860""]",Automatic,2024-11-07 17:37:29.683295
SG0162,JN0733-JN0323,TK0934,288.56,Red,163,14,115,"[""TK0934""]",Automatic,2025-01-16 17:37:29.684046
SG0163,JN0706-JN0594,TK1916,294.71,Red,151,14,176,"[""TK1916""]",Automatic,2025-08-29 17:37:29.684862
SG0164,JN0161-JN0795,TK0211,13.44,Yellow,97,12,109,"[""TK0211""]",Automatic,2025-08-28 17:37:29.685728
SG0165,JN0745-JN0274,TK2517,245.57,Yellow,161,10,251,"[""TK2517""]",Semi-Automatic,2025-09-03 17:37:29.686680
SG0166,JN0271-JN0422,TK1842,238.24,Green,117,14,238,"[""TK1842""]",Automatic,2024-11-04 17:37:29.687433
SG0167,JN0289-JN0037,TK2076,473.35,Green,152,6,203,"[""TK2076""]",Semi-Automatic,2025-09-12 17:37:29.688193
SG0168,JN0078-JN0146,TK1666,147.84,Red,155,8,122,"[""TK1666""]",Automatic,2025-05-04 17:37:29.688954
SG0169,JN0163-JN0963,TK2682,264.51,Yellow,146,5,228,"[""TK2682"", ""TK1099""]",Manual,2025-07-25 17:37:29.690137
SG0170,JN0881-JN0792,TK1998,45.32,Red,102,12,123,"[""TK1998""]",Automatic,2025-05-28 17:37:29.690969
SG0171,JN0233-JN0676,TK1488,310.71,Red,61,9,122,"[""TK1488""]",Semi-Automatic,2025-08-04 17:37:29.691726
SG0172,JN0238-JN0344,TK2045,151.5,Red,78,9,271,"[""TK2045""]",Manual,2025-06-07 17:37:29.692505
SG0173,JN0796-JN0180,TK1758,272.97,Red,148,11,104,"[""TK1758""]",Manual,2025-06-28 17:37:29.693272
SG0174,JN0568-JN0213,TK0584,261.23,Yellow,175,10,139,"[""TK0584""]",Manual,2024-10-01 17:37:29.694627
SG0175,JN0515-JN0741,TK2482,150.09,Red,97,12,111,"[""TK2482""]",Automatic,2025-06-07 17:37:29.696016
SG0176,JN0296-JN0254,TK2368,43.92,Yellow,167,11,237,"[""TK2368""]",Semi-Automatic,2024-10-04 17:37:29.697372
SG0177,JN0347-JN0428,TK2595,285.76,Red,166,11,259,"[""TK2595""]",Semi-Automatic,2024-12-26 17:37:29.698752
SG0178,JN0737-JN0626,TK0230,66.47,Yellow,124,6,214,"[""TK0230""]",Manual,2025-09-01 17:37:29.700106
SG0179,JN0976-JN0657,TK2175,10.36,Yellow,107,6,245,"[""TK2175""]",Manual,2025-03-29 17:37:29.701026
SG0180,JN0007-JN0852,TK0367,9.15,Yellow,155,7,171,"[""TK0367""]",Semi-Automatic,2025-04-17 17:37:29.702172
SG0181,JN0427-JN0481,TK1792,109.71,Yellow,106,11,262,"[""TK1792""]",Manual,2025-08-28 17:37:29.703336
SG0182,JN0853-JN0136,TK0493,23.19,Green,112,14,249,"[""TK0493""]",Manual,2025-08-30 17:37:29.704234
SG0183,JN0439-JN0275,TK2550,143.27,Red,134,13,243,"[""TK2550""]",Semi-Automatic,2025-02-24 17:37:29.705175
SG0184,JN0635-JN0085,TK0418,120.02,Red,127,8,248,"[""TK0418""]",Semi-Automatic,2025-08-01 17:37:29.706684
SG0185,JN0203-JN0844,TK2700,152.6,Yellow,110,14,196,"[""TK2700""]",Semi-Automatic,2025-01-16 17:37:29.708153
SG0186,JN0010-JN0785,TK1696,124.85,Green,105,11,221,"[""TK1696""]",Manual,2024-10-26 17:37:29.709601
SG0187,JN0572-JN0934,TK0837,39.88,Yellow,150,8,152,"[""TK0837""]",Automatic,2025-07-29 17:37:29.711042
SG0188,JN0120-JN0850,TK0510,276.14,Green,75,8,226,"[""TK0510"", ""TK2669"", ""TK1376""]",Automatic,2025-01-29 17:37:29.713385
SG0189,JN0141-JN0631,TK2757,4.57,Yellow,147,6,243,"[""TK2757""]",Manual,2024-12-21 17:37:29.714753
SG0190,JN0044-JN0026,TK0939,182.4,Red,130,14,278,"[""TK0939"", ""TK1165"", ""TK1441""]",Semi-Automatic,2025-05-14 17:37:29.716155
SG0191,JN0332-JN0408,TK1651,146.55,Green,147,7,229,"[""TK1651"", ""TK1354""]",Semi-Automatic,2024-10-21 17:37:29.717504
SG0192,JN0335-JN0287,TK2507,74.87,Red,96,5,296,"[""TK2507""]",Manual,2025-07-15 17:37:29.718574
SG0193,JN0052-JN0911,TK1572,3.04,Yellow,150,7,249,"[""TK1572""]",Automatic,2024-11-16 17:37:29.719777
SG0194,JN0140-JN0157,TK0233,10.06,Yellow,129,13,252,"[""TK0233""]",Manual,2025-02-09 17:37:29.720625
SG0195,JN0814-JN0352,TK2465,292.43,Green,177,8,174,"[""TK2465"", ""TK2283""]",Manual,2025-03-06 17:37:29.721885
SG0196,JN0389-JN0937,TK0229,251.51,Yellow,176,5,274,"[""TK0229""]",Manual,2025-06-02 17:37:29.722732
SG0197,JN0940-JN0247,TK2388,257.55,Yellow,153,11,153,"[""TK2388""]",Manual,2025-08-09 17:37:29.723544
SG0198,JN0720-JN0159,TK2827,324.05,Green,160,12,220,"[""TK2827""]",Semi-Automatic,2024-10-23 17:37:29.724466
