Train_ID,Train_Name,Train_Type,Max_Speed,Avg_Speed,Train_Length,Capacity,Priority_Level,Color_Code
TR0037,Bareilly_Central_Local_37,Local,106,93,239,1002,2,#0000FF
TR0038,Dehradun_Local_38,Local,86,73,277,1088,2,#00FF00
TR0039,Jammu_Central_Metro_39,Metro,70,52,130,950,2,#000080
TR0040,Dhanbad_Freight_40,Freight,66,45,311,3191,3,#FF0000
TR0041,Silchar_Junction_Express_41,Express,100,81,258,836,1,#0000FF
TR0042,Rourkela_Freight_42,Freight,75,63,351,1403,3,#800080
TR0043,Dehradun_Junction_Passenger_43,Passenger,103,90,262,1186,2,#FFFF00
TR0044,Chandigarh_Terminal_Shatabdi_44,Shatabdi,179,161,311,653,1,#0000FF
TR0045,Kochi_Terminal_Passenger_45,Passenger,108,97,203,937,2,#C0C0C0
TR0046,Varanasi_Terminal_Passenger_46,Passenger,83,73,182,1179,2,#FF00FF
TR0047,Agra_Central_Metro_47,Metro,89,72,107,1183,2,#0000FF
TR0048,Vijayawada_Passenger_48,Passenger,80,68,268,1069,2,#808080
TR0049,Kota_Junction_Shatabdi_49,Shatabdi,177,157,250,764,1,#800080
TR0050,Chennai_Central_Terminal_Freight_50,Freight,86,75,485,4348,3,#008080
TR0051,Gwalior_Central_Rajdhani_51,Rajdhani,172,153,247,716,1,#FFFF00
TR0052,Trivandrum_Junction_Freight_52,Freight,76,66,419,4243,3,#C0C0C0
TR0053,Madurai_Shatabdi_53,Shatabdi,145,128,236,779,1,#C0C0C0
TR0054,Gorakhpur_Junction_Passenger_54,Passenger,93,79,265,698,2,#C0C0C0
TR0055,Surat_Junction_Superfast_55,Superfast,102,92,216,855,2,#00FF00
TR0056,Pune_Junction_Passenger_56,Passenger,89,74,216,1169,2,#808080
TR0057,Jaipur_Terminal_Metro_57,Metro,87,72,165,950,2,#808000
TR0058,Bikaner_Junction_Express_58,Express,101,77,292,903,2,#FFA500
TR0059,Silchar_Superfast_59,Superfast,89,73,248,1137,2,#008000
TR0060,Gorakhpur_Metro_60,Metro,82,63,156,1190,2,#C0C0C0
TR0061,Varanasi_Terminal_Local_61,Local,80,63,293,1111,2,#008080
TR0062,Chandigarh_Junction_Freight_62,Freight,82,58,487,2115,3,#00FFFF
TR0063,Jaipur_Junction_Freight_63,Freight,84,65,389,1574,3,#00FFFF
TR0064,Surat_Express_64,Express,125,105,319,1104,2,#00FFFF
TR0065,Puri_Freight_65,Freight,87,73,463,4040,3,#008080
TR0066,Ahmedabad_Terminal_Local_66,Local,91,77,155,702,2,#FFFF00
TR0067,Bhopal_Shatabdi_67,Shatabdi,174,153,343,707,1,#00FF00
TR0068,Varanasi_Local_68,Local,89,77,212,719,2,#008080
TR0069,Jaipur_Terminal_Express_69,Express,122,98,272,1273,1,#008000
TR0070,New_Delhi_Local_70,Local,100,90,271,657,2,#00FF00
TR0071,Dibrugarh_Terminal_Metro_71,Metro,99,84,188,847,2,#C0C0C0
TR0072,Vijayawada_Superfast_72,Superfast,80,64,218,1046,2,#C0C0C0
TR0073,Udaipur_Junction_Rajdhani_73,Rajdhani,142,116,343,553,1,#FF00FF
TR0074,Srinagar_Shatabdi_74,Shatabdi,168,140,268,619,1,#FF0000
TR0075,Dehradun_Shatabdi_75,Shatabdi,144,118,284,799,1,#FFFF00
TR0076,Ratlam_Passenger_76,Passenger,109,95,159,622,2,#FFFF00
TR0077,Ratlam_Express_77,Express,119,95,250,1458,2,#C0C0C0
TR0078,Shimla_Terminal_Local_78,Local,95,78,151,935,2,#808000
TR0079,Kochi_Junction_Local_79,Local,103,92,182,979,2,#C0C0C0
TR0080,Kochi_Junction_Freight_80,Freight,70,56,264,2291,3,#800080
TR0081,Chandigarh_Junction_Express_81,Express,110,94,284,1052,2,#FF0000
TR0082,Pune_Central_Express_82,Express,107,83,364,1401,2,#FFA500
TR0083,Madurai_Terminal_Local_83,Local,105,91,224,1092,2,#800080
TR0084,Dehradun_Central_Local_84,Local,104,90,250,993,2,#800080
TR0085,Jalandhar_Central_Metro_85,Metro,72,62,135,898,2,#FF0000
TR0086,Indore_Rajdhani_86,Rajdhani,171,149,236,550,1,#FF0000
TR0087,Pune_Central_Rajdhani_87,Rajdhani,152,131,298,616,1,#808080
TR0088,Ajmer_Terminal_Passenger_88,Passenger,96,83,290,941,2,#0000FF
TR0089,Meerut_Terminal_Passenger_89,Passenger,83,65,158,675,2,#008080
TR0090,Patna_Central_Shatabdi_90,Shatabdi,170,152,310,738,1,#FF00FF
TR0091,Vijayawada_Terminal_Superfast_91,Superfast,82,64,202,1068,2,#008000
TR0092,Vadodara_Terminal_Rajdhani_92,Rajdhani,178,150,321,622,1,#0000FF
TR0093,Singrauli_Rajdhani_93,Rajdhani,168,143,345,730,1,#008000
TR0094,Mangalore_Central_Express_94,Express,125,110,390,1052,1,#000080
TR0095,Hubli_Passenger_95,Passenger,97,78,154,793,2,#FF00FF
TR0096,New_Delhi_Junction_Shatabdi_96,Shatabdi,158,136,264,764,1,#FFFF00
TR0097,Gorakhpur_Passenger_97,Passenger,86,68,281,900,2,#00FFFF
TR0098,Dehradun_Terminal_Local_98,Local,98,83,240,766,2,#000080
TR0099,Varanasi_Central_Freight_99,Freight,66,43,372,4522,3,#00FF00
TR0100,Jaipur_Terminal_Local_100,Local,109,90,210,1075,2,#008000
TR0101,Coimbatore_Central_Rajdhani_101,Rajdhani,140,123,312,747,1,#800080
TR0102,Chandigarh_Passenger_102,Passenger,85,71,207,733,2,#C0C0C0
TR0103,Haridwar_Junction_Metro_103,Metro,82,68,184,879,2,#008080
TR0104,Srinagar_Superfast_104,Superfast,83,71,295,1131,2,#008000
TR0105,Nagpur_Terminal_Passenger_105,Passenger,93,83,203,972,2,#0000FF
TR0106,Srinagar_Junction_Metro_106,Metro,92,74,173,811,2,#800080
TR0107,Ahmedabad_Shatabdi_107,Shatabdi,151,129,316,555,1,#000080
TR0108,Shimla_Terminal_Local_108,Local,83,64,177,915,2,#FF00FF
TR0109,Jammu_Passenger_109,Passenger,83,68,290,744,2,#0000FF
TR0110,Coimbatore_Central_Superfast_110,Superfast,85,74,196,855,2,#00FF00
TR0111,Kota_Express_111,Express,123,107,368,1050,2,#00FFFF
TR0112,Chandigarh_Terminal_Passenger_112,Passenger,97,87,212,881,2,#00FFFF
TR0113,Pune_Central_Freight_113,Freight,86,76,297,2484,3,#0000FF
TR0114,Shimla_Terminal_Rajdhani_114,Rajdhani,140,121,205,710,1,#FF0000
TR0115,Guwahati_Terminal_Superfast_115,Superfast,84,69,172,1036,2,#FF00FF
TR0116,Gulbarga_Superfast_116,Superfast,89,70,294,682,2,#808080
TR0117,Allahabad_Terminal_Passenger_117,Passenger,93,83,153,650,2,#FF0000
TR0118,Bina_Passenger_118,Passenger,87,76,244,947,2,#FFA500
TR0119,Silchar_Express_119,Express,125,109,372,1237,1,#008080
TR0120,Srinagar_Passenger_120,Passenger,101,87,261,1000,2,#FFA500
TR0121,Rewa_Rajdhani_121,Rajdhani,176,157,265,797,1,#0000FF
TR0122,Silchar_Rajdhani_122,Rajdhani,177,151,237,625,1,#00FF00
TR0123,Jodhpur_Express_123,Express,129,112,328,1246,1,#FFA500
TR0124,Kota_Terminal_Express_124,Express,118,103,387,932,1,#FF0000
TR0125,Bareilly_Junction_Express_125,Express,116,98,302,868,1,#C0C0C0
TR0126,Chennai_Central_Junction_Shatabdi_126,Shatabdi,150,133,279,510,1,#808000
TR0127,Vadodara_Central_Shatabdi_127,Shatabdi,155,133,303,787,1,#800080
TR0128,Bhopal_Junction_Passenger_128,Passenger,82,70,210,692,2,#0000FF
TR0129,Hubli_Junction_Freight_129,Freight,80,66,291,2489,3,#C0C0C0
TR0130,Silchar_Junction_Shatabdi_130,Shatabdi,160,140,332,400,1,#008080
TR0131,Kochi_Express_131,Express,113,97,322,877,2,#008000
TR0132,Ahmedabad_Junction_Rajdhani_132,Rajdhani,161,132,293,455,1,#C0C0C0
TR0133,Kanpur_Junction_Passenger_133,Passenger,105,92,157,856,2,#0000FF
TR0134,Chandigarh_Junction_Superfast_134,Superfast,99,82,177,1125,2,#808080
TR0135,Asansol_Metro_135,Metro,71,52,158,813,2,#0000FF
TR0136,Nashik_Rajdhani_136,Rajdhani,142,113,306,637,1,#000080
TR0137,Guwahati_Terminal_Shatabdi_137,Shatabdi,174,157,318,414,1,#008080
TR0138,Chandigarh_Express_138,Express,106,83,375,1072,2,#008000
TR0139,Nashik_Central_Passenger_139,Passenger,92,79,217,624,2,#0000FF
TR0140,Ludhiana_Terminal_Passenger_140,Passenger,92,81,260,710,2,#00FF00
TR0141,Jalandhar_Rajdhani_141,Rajdhani,147,125,282,768,1,#008000
TR0142,Srinagar_Terminal_Superfast_142,Superfast,85,72,213,881,2,#808000
TR0143,Udaipur_Terminal_Metro_143,Metro,96,81,132,1028,2,#00FFFF
TR0144,Chennai_Central_Superfast_144,Superfast,85,70,261,1102,2,#808080
TR0145,Coimbatore_Junction_Freight_145,Freight,89,66,294,3397,3,#FFA500
TR0146,Haridwar_Passenger_146,Passenger,102,90,180,842,2,#FF00FF
TR0147,Chennai_Central_Local_147,Local,103,88,224,921,2,#00FFFF
TR0148,Haridwar_Junction_Shatabdi_148,Shatabdi,169,147,278,461,1,#800080
TR0149,Varanasi_Express_149,Express,118,99,317,1125,1,#FFFF00
TR0150,New_Delhi_Passenger_150,Passenger,99,89,196,739,2,#000080
TR0151,Bangalore_Terminal_Shatabdi_151,Shatabdi,177,158,338,781,1,#C0C0C0
TR0152,Kanpur_Freight_152,Freight,62,52,377,1901,3,#FF00FF
TR0153,Mangalore_Central_Rajdhani_153,Rajdhani,149,123,212,785,1,#00FF00
TR0154,Lucknow_Local_154,Local,80,66,166,928,2,#808000
TR0155,Dibrugarh_Rajdhani_155,Rajdhani,163,143,294,493,1,#FF00FF
TR0156,Kochi_Central_Shatabdi_156,Shatabdi,153,134,336,775,1,#008080
TR0157,Bilaspur_Freight_157,Freight,62,52,259,2319,3,#C0C0C0
TR0158,Dhanbad_Metro_158,Metro,80,62,113,1028,2,#808080
TR0159,Coimbatore_Terminal_Freight_159,Freight,80,66,277,3052,3,#808080
TR0160,Haridwar_Local_160,Local,104,85,295,688,2,#800080
TR0161,Mysore_Terminal_Rajdhani_161,Rajdhani,179,151,324,687,1,#FF0000
TR0162,Srinagar_Central_Rajdhani_162,Rajdhani,154,139,344,552,1,#FFA500
TR0163,Udaipur_Junction_Express_163,Express,113,94,288,1415,2,#00FFFF
TR0164,Gorakhpur_Central_Shatabdi_164,Shatabdi,142,121,241,578,1,#FFFF00
TR0165,Ajmer_Junction_Rajdhani_165,Rajdhani,168,153,237,630,1,#FF0000
TR0166,Korba_Superfast_166,Superfast,84,68,235,888,2,#000080
TR0167,Varanasi_Central_Superfast_167,Superfast,106,87,187,717,2,#FFFF00
TR0168,Bangalore_Superfast_168,Superfast,103,90,285,614,2,#C0C0C0
TR0169,Madurai_Junction_Rajdhani_169,Rajdhani,143,117,329,572,1,#0000FF
TR0170,Mysore_Freight_170,Freight,63,50,498,1793,3,#FF00FF
TR0171,Dehradun_Junction_Local_171,Local,90,71,283,1149,2,#FFA500
TR0172,Shimla_Junction_Rajdhani_172,Rajdhani,165,137,339,762,1,#C0C0C0
TR0173,Hubli_Central_Metro_173,Metro,99,88,159,910,2,#008080
TR0174,Bareilly_Local_174,Local,83,70,269,732,2,#800080
TR0175,Bhubaneswar_Rajdhani_175,Rajdhani,167,138,336,777,1,#C0C0C0
TR0176,Vijayawada_Terminal_Shatabdi_176,Shatabdi,179,156,210,613,1,#FF0000
TR0177,Mysore_Junction_Shatabdi_177,Shatabdi,176,157,309,745,1,#00FFFF
TR0178,Mangalore_Central_Rajdhani_178,Rajdhani,140,111,314,454,1,#FF00FF
TR0179,Nagpur_Central_Rajdhani_179,Rajdhani,148,129,256,536,1,#000080
TR0180,Rewa_Passenger_180,Passenger,82,69,239,1136,2,#00FFFF
TR0181,Surat_Junction_Express_181,Express,106,90,266,1274,1,#808000
TR0182,Coimbatore_Junction_Freight_182,Freight,71,51,381,2202,3,#008000
TR0183,Raipur_Rajdhani_183,Rajdhani,145,126,228,743,1,#808000
TR0184,Meerut_Terminal_Shatabdi_184,Shatabdi,165,139,248,769,1,#FF0000
TR0185,New_Delhi_Junction_Local_185,Local,88,78,267,747,2,#008080
TR0186,Srinagar_Junction_Rajdhani_186,Rajdhani,179,164,200,726,1,#C0C0C0
TR0187,Udaipur_Shatabdi_187,Shatabdi,162,145,261,778,1,#808080
TR0188,New_Delhi_Superfast_188,Superfast,96,79,167,618,2,#808080
TR0189,Kanpur_Central_Freight_189,Freight,74,63,312,1193,3,#808080
TR0190,Hyderabad_Terminal_Shatabdi_190,Shatabdi,143,128,254,663,1,#0000FF
TR0191,Bhopal_Terminal_Metro_191,Metro,79,60,133,1165,2,#FF0000
TR0192,Ahmedabad_Rajdhani_192,Rajdhani,167,151,292,790,1,#FF0000
TR0193,Rourkela_Passenger_193,Passenger,102,90,221,1042,2,#008000
TR0194,Kolkata_Junction_Rajdhani_194,Rajdhani,176,159,296,450,1,#800080
TR0195,Silchar_Terminal_Express_195,Express,102,80,295,877,2,#FFFF00
TR0196,Jammu_Terminal_Local_196,Local,84,69,291,1068,2,#FFA500
TR0197,Kochi_Junction_Metro_197,Metro,87,71,106,1129,2,#FFA500
TR0198,Allahabad_Junction_Superfast_198,Superfast,98,86,178,1147,2,#00FF00
TR0199,Bareilly_Central_Express_199,Express,100,81,379,1322,2,#FFA500
TR0200,Mysore_Terminal_Rajdhani_200,Rajdhani,151,133,236,660,1,#808080
TR0201,Ahmedabad_Central_Passenger_201,Passenger,81,67,235,1099,2,#800080
TR0202,Srinagar_Junction_Passenger_202,Passenger,89,72,277,658,2,#FF0000
TR0203,Hyderabad_Terminal_Express_203,Express,118,103,274,1325,1,#008000
TR0204,Ahmedabad_Terminal_Shatabdi_204,Shatabdi,161,136,228,403,1,#00FF00
TR0205,Surat_Junction_Rajdhani_205,Rajdhani,176,151,345,725,1,#FF00FF
TR0206,Singrauli_Express_206,Express,103,80,371,833,2,#FFA500
TR0207,Bikaner_Superfast_207,Superfast,89,74,206,626,2,#00FFFF
TR0208,Puri_Freight_208,Freight,67,56,436,3315,3,#FFA500
TR0209,Bilaspur_Express_209,Express,112,97,295,1275,1,#00FF00
TR0210,Kochi_Local_210,Local,101,91,264,891,2,#C0C0C0
TR0211,Ajmer_Terminal_Superfast_211,Superfast,90,73,262,610,2,#FFA500
TR0212,Lucknow_Central_Metro_212,Metro,72,57,154,897,2,#800080
TR0213,Gorakhpur_Shatabdi_213,Shatabdi,161,142,232,711,1,#FFFF00
TR0214,Coimbatore_Terminal_Freight_214,Freight,62,49,400,4562,3,#00FF00
TR0215,Surat_Central_Superfast_215,Superfast,88,70,166,895,2,#008000
TR0216,Dehradun_Superfast_216,Superfast,90,73,174,641,2,#0000FF
TR0217,Udaipur_Junction_Freight_217,Freight,77,63,371,1107,3,#808080
TR0218,Chandigarh_Shatabdi_218,Shatabdi,173,147,300,674,1,#808000
TR0219,Durgapur_Freight_219,Freight,76,54,256,2040,3,#FF0000
TR0220,Ahmedabad_Rajdhani_220,Rajdhani,151,123,282,479,1,#FF00FF
TR0221,Jalandhar_Central_Passenger_221,Passenger,102,88,174,973,2,#008000
TR0222,Kochi_Local_222,Local,94,75,258,1088,2,#000080
TR0223,New_Delhi_Junction_Metro_223,Metro,76,66,184,1081,2,#000080
TR0224,Nashik_Junction_Rajdhani_224,Rajdhani,153,124,206,516,1,#0000FF
TR0225,Jammu_Junction_Metro_225,Metro,77,66,186,1114,2,#00FF00
TR0226,Jaipur_Rajdhani_226,Rajdhani,169,151,216,502,1,#800080
TR0227,Vadodara_Junction_Freight_227,Freight,71,50,297,4884,3,#FF00FF
TR0228,Surat_Freight_228,Freight,67,48,238,1182,3,#800080
TR0229,Hubli_Junction_Passenger_229,Passenger,83,68,165,996,2,#008080
TR0230,Trivandrum_Junction_Shatabdi_230,Shatabdi,141,120,233,626,1,#808000
TR0231,Guwahati_Junction_Rajdhani_231,Rajdhani,152,125,295,673,1,#808000
TR0232,Kota_Terminal_Rajdhani_232,Rajdhani,168,140,215,717,1,#008080
TR0233,Vadodara_Terminal_Rajdhani_233,Rajdhani,149,121,283,758,1,#FF0000
TR0234,Trivandrum_Junction_Shatabdi_234,Shatabdi,142,115,319,541,1,#00FF00
TR0235,Patna_Junction_Local_235,Local,97,83,222,1031,2,#FF0000
TR0236,Bokaro_Passenger_236,Passenger,103,90,186,739,2,#FF00FF
TR0237,Jamshedpur_Freight_237,Freight,87,72,210,1806,3,#C0C0C0
TR0238,Gwalior_Terminal_Express_238,Express,124,103,321,1363,2,#C0C0C0
TR0239,Shimla_Junction_Rajdhani_239,Rajdhani,149,124,256,625,1,#008000
TR0240,Rourkela_Passenger_240,Passenger,105,93,154,1116,2,#FFA500
TR0241,Bokaro_Passenger_241,Passenger,88,76,271,619,2,#808000
TR0242,Trivandrum_Terminal_Express_242,Express,102,86,252,861,1,#0000FF
TR0243,Katni_Shatabdi_243,Shatabdi,152,130,288,780,1,#FFFF00
TR0244,Kota_Terminal_Shatabdi_244,Shatabdi,176,160,304,666,1,#0000FF
TR0245,Coimbatore_Central_Freight_245,Freight,87,65,394,4720,3,#00FF00
TR0246,Trivandrum_Local_246,Local,89,71,189,1062,2,#FF00FF
TR0247,Amritsar_Central_Freight_247,Freight,86,75,323,1983,3,#00FFFF
TR0248,Gwalior_Junction_Metro_248,Metro,96,82,189,975,2,#00FFFF
TR0249,Haridwar_Superfast_249,Superfast,107,93,263,1192,2,#C0C0C0
TR0250,Asansol_Metro_250,Metro,99,87,166,985,2,#800080
TR0251,Mangalore_Central_Express_251,Express,107,92,329,1061,2,#008080
TR0252,Mumbai_Central_Junction_Passenger_252,Passenger,106,88,194,962,2,#FF00FF
TR0253,Jalpaiguri_Express_253,Express,103,83,294,1499,2,#008000
TR0254,Ahmedabad_Junction_Freight_254,Freight,82,63,359,4465,3,#FF00FF
TR0255,Mumbai_Central_Shatabdi_255,Shatabdi,178,149,299,481,1,#808080
TR0256,Jammu_Superfast_256,Superfast,108,92,162,823,2,#808000
TR0257,Allahabad_Junction_Passenger_257,Passenger,88,78,247,959,2,#800080
TR0258,Silchar_Junction_Superfast_258,Superfast,82,67,223,1066,2,#00FF00
TR0259,Jammu_Junction_Rajdhani_259,Rajdhani,167,141,236,734,1,#00FFFF
TR0260,Shimla_Central_Local_260,Local,99,86,217,841,2,#FF0000
TR0261,Jalandhar_Central_Local_261,Local,101,91,269,621,2,#00FF00
TR0262,Haridwar_Central_Shatabdi_262,Shatabdi,168,142,324,563,1,#FFA500
TR0263,Chandigarh_Junction_Superfast_263,Superfast,90,80,207,678,2,#000080
TR0264,Varanasi_Central_Express_264,Express,113,97,348,1084,1,#008000
TR0265,Nagpur_Junction_Rajdhani_265,Rajdhani,154,133,274,684,1,#00FF00
TR0266,Bareilly_Central_Rajdhani_266,Rajdhani,153,135,226,421,1,#FF0000
TR0267,Amritsar_Terminal_Shatabdi_267,Shatabdi,167,140,246,420,1,#FF00FF
TR0268,Jalpaiguri_Freight_268,Freight,79,64,456,2682,3,#008080
TR0269,Trivandrum_Shatabdi_269,Shatabdi,154,138,263,562,1,#800080
TR0270,Kolkata_Central_Local_270,Local,97,80,294,659,2,#FF00FF
TR0271,Kolkata_Central_Metro_271,Metro,84,73,102,998,2,#008080
TR0272,Coimbatore_Central_Superfast_272,Superfast,103,84,164,1157,2,#808080
TR0273,Guwahati_Central_Shatabdi_273,Shatabdi,146,131,283,781,1,#008000
TR0274,New_Delhi_Terminal_Shatabdi_274,Shatabdi,161,141,329,516,1,#800080
TR0275,Nashik_Freight_275,Freight,72,62,476,1071,3,#808080
TR0276,Shimla_Metro_276,Metro,87,72,110,831,2,#008000
TR0277,Nagpur_Passenger_277,Passenger,107,92,285,1024,2,#00FFFF
TR0278,Indore_Terminal_Freight_278,Freight,83,65,275,3448,3,#808080
TR0279,Gwalior_Terminal_Metro_279,Metro,84,69,191,885,2,#FF0000
TR0280,Nagpur_Junction_Express_280,Express,107,91,326,801,2,#000080
TR0281,Mumbai_Central_Central_Shatabdi_281,Shatabdi,178,162,302,565,1,#808080
TR0282,Pune_Junction_Express_282,Express,117,101,298,905,2,#808000
TR0283,Katni_Superfast_283,Superfast,82,67,155,608,2,#FFA500
TR0284,Bina_Rajdhani_284,Rajdhani,171,148,207,769,1,#00FF00
TR0285,Jaipur_Terminal_Local_285,Local,109,96,260,917,2,#FFA500
TR0286,Coimbatore_Terminal_Freight_286,Freight,79,66,221,4461,3,#0000FF
TR0287,Indore_Rajdhani_287,Rajdhani,153,128,286,411,1,#C0C0C0
TR0288,Durgapur_Passenger_288,Passenger,92,80,296,721,2,#808080
TR0289,Bhubaneswar_Local_289,Local,92,75,181,908,2,#008080
TR0290,Pune_Central_Express_290,Express,105,89,305,1461,2,#808000
TR0291,Allahabad_Central_Freight_291,Freight,87,68,234,1754,3,#C0C0C0
TR0292,Dibrugarh_Shatabdi_292,Shatabdi,154,139,275,790,1,#808080
TR0293,Chennai_Central_Superfast_293,Superfast,105,88,186,1003,2,#008080
TR0294,Bikaner_Central_Local_294,Local,109,96,199,751,2,#0000FF
TR0295,Guwahati_Central_Metro_295,Metro,78,65,197,1049,2,#00FF00
TR0296,Hubli_Junction_Rajdhani_296,Rajdhani,173,155,238,661,1,#0000FF
TR0297,Vadodara_Junction_Freight_297,Freight,85,70,467,1636,3,#C0C0C0
TR0298,Jalandhar_Express_298,Express,107,88,336,1319,2,#008080
TR0299,Ratlam_Shatabdi_299,Shatabdi,153,137,236,774,1,#00FFFF
TR0300,Jaipur_Superfast_300,Superfast,88,73,260,980,2,#800080
TR0301,Patna_Terminal_Rajdhani_301,Rajdhani,164,146,269,529,1,#808000
TR0302,Gorakhpur_Terminal_Passenger_302,Passenger,104,93,154,762,2,#800080
TR0303,Bikaner_Local_303,Local,103,90,196,900,2,#808000
TR0304,Kanpur_Express_304,Express,102,82,342,1069,2,#008080
TR0305,Hubli_Central_Shatabdi_305,Shatabdi,140,121,207,675,1,#008080
TR0306,Ahmedabad_Junction_Passenger_306,Passenger,104,89,270,883,2,#FF00FF
TR0307,Indore_Central_Rajdhani_307,Rajdhani,176,150,248,564,1,#008080
TR0308,Gwalior_Terminal_Metro_308,Metro,97,82,160,907,2,#00FF00
TR0309,Kochi_Shatabdi_309,Shatabdi,141,118,219,692,1,#C0C0C0
TR0310,Ratlam_Passenger_310,Passenger,102,90,208,797,2,#FF0000
TR0311,Jaipur_Central_Passenger_311,Passenger,98,79,192,875,2,#00FF00
TR0312,Raichur_Passenger_312,Passenger,97,79,187,638,2,#FFA500
TR0313,Silchar_Central_Metro_313,Metro,99,86,149,1135,2,#008080
TR0314,Ahmedabad_Rajdhani_314,Rajdhani,147,131,328,740,1,#C0C0C0
TR0315,Ajmer_Metro_315,Metro,75,61,146,885,2,#FF0000
TR0316,Kochi_Rajdhani_316,Rajdhani,165,140,344,513,1,#800080
TR0317,Mumbai_Central_Junction_Rajdhani_317,Rajdhani,179,164,271,475,1,#808080
TR0318,Amritsar_Terminal_Local_318,Local,80,70,180,746,2,#808080
TR0319,Allahabad_Terminal_Superfast_319,Superfast,95,81,239,960,2,#008080
TR0320,Bikaner_Junction_Express_320,Express,117,97,338,1374,1,#C0C0C0
TR0321,Jaipur_Junction_Passenger_321,Passenger,100,82,247,923,2,#00FFFF
TR0322,Varanasi_Central_Shatabdi_322,Shatabdi,143,123,281,418,1,#008000
TR0323,New_Delhi_Terminal_Rajdhani_323,Rajdhani,158,131,328,730,1,#808080
TR0324,Bhilai_Shatabdi_324,Shatabdi,146,123,342,612,1,#008080
TR0325,Srinagar_Junction_Express_325,Express,106,87,298,1404,2,#FF0000
TR0326,Bangalore_Central_Freight_326,Freight,71,56,466,3009,3,#800080
TR0327,Gulbarga_Shatabdi_327,Shatabdi,153,129,202,664,1,#000080
TR0328,Coimbatore_Terminal_Metro_328,Metro,85,74,192,916,2,#008000
TR0329,Amritsar_Central_Local_329,Local,84,73,186,903,2,#008080
TR0330,Ahmedabad_Central_Local_330,Local,94,78,195,925,2,#808000
TR0331,Kolhapur_Freight_331,Freight,72,58,306,1406,3,#FF00FF
TR0332,Ujjain_Local_332,Local,94,76,164,650,2,#FF00FF
TR0333,Bareilly_Terminal_Superfast_333,Superfast,101,89,274,933,2,#FF00FF
TR0334,Mysore_Junction_Local_334,Local,93,81,255,743,2,#808080
TR0335,Kolkata_Terminal_Express_335,Express,101,86,338,1388,2,#808000
TR0336,Varanasi_Central_Rajdhani_336,Rajdhani,170,144,238,473,1,#FFA500
